# task_order: 0,1,2,3,4,5,6,7,8,9
after_stage,stage0(task0),stage1(task1),stage2(task2),stage3(task3),stage4(task4),stage5(task5),stage6(task6),stage7(task7),stage8(task8),stage9(task9)
0,95.0,,,,,,,,,
1,100.0,100.0,,,,,,,,
2,95.0,85.0,95.0,,,,,,,
3,75.0,70.0,95.0,75.0,,,,,,
4,80.0,50.0,80.0,90.0,45.0,,,,,
5,80.0,60.0,55.0,80.0,65.0,80.0,,,,
6,90.0,35.0,95.0,65.0,90.0,60.0,90.0,,,
7,80.0,25.0,90.0,85.0,50.0,40.0,75.0,45.0,,
8,80.0,15.0,70.0,80.0,50.0,50.0,70.0,70.0,85.0,
9,80.0,20.0,70.0,90.0,40.0,70.0,70.0,15.0,85.0,60.0
