# task_order: 0,1,2,3,4,5,6,7,8,9
after_stage,stage0(task0),stage1(task1),stage2(task2),stage3(task3),stage4(task4),stage5(task5),stage6(task6),stage7(task7),stage8(task8),stage9(task9)
0,100.0,,,,,,,,,
1,100.0,95.0,,,,,,,,
2,95.0,70.0,100.0,,,,,,,
3,85.0,65.0,100.0,95.0,,,,,,
4,75.0,70.0,90.0,85.0,100.0,,,,,
5,95.0,85.0,100.0,70.0,100.0,100.0,,,,
6,90.0,70.0,80.0,80.0,90.0,80.0,80.0,,,
7,95.0,80.0,75.0,75.0,95.0,85.0,95.0,90.0,,
8,85.0,80.0,95.0,75.0,100.0,75.0,80.0,80.0,100.0,
9,75.0,90.0,100.0,65.0,95.0,90.0,85.0,75.0,100.0,100.0
